d,n,seed,running_max_abs_e_consistent,running_max_update_norm_consistent,fullpass_change
4,48,0,2.5438405243138006e-16,5.038356438847639e-17,4.2309564180702914e-16
4,48,1,3.188872858294072e-16,7.089587974642793e-17,2.8189123044039896e-16
4,48,2,3.188872858294072e-16,7.089587974642793e-17,3.6333347346752557e-16
4,48,3,3.188872858294072e-16,7.089587974642793e-17,3.224956036003359e-16
4,48,4,3.3306690738754696e-16,7.089587974642793e-17,3.413784736284731e-16
4,48,5,4.440892098500626e-16,8.516171690336754e-17,4.544785146966129e-16
4,80,0,4.47545209131181e-16,8.516171690336754e-17,4.542856266747219e-16
4,80,1,4.47545209131181e-16,8.516171690336754e-17,3.1467066209323248e-16
4,80,2,4.47545209131181e-16,8.516171690336754e-17,3.869216037046532e-16
4,80,3,4.47545209131181e-16,8.516171690336754e-17,4.871819242173642e-16
4,80,4,4.47545209131181e-16,8.516171690336754e-17,3.484085326057131e-16
4,80,5,4.47545209131181e-16,8.516171690336754e-17,4.1567174477149395e-16
8,96,0,4.47545209131181e-16,8.516171690336754e-17,3.5284249915467004e-16
8,96,1,4.965068306494546e-16,8.516171690336754e-17,3.312121240648874e-16
8,96,2,4.965068306494546e-16,8.516171690336754e-17,3.228182428255296e-16
8,96,3,4.965068306494546e-16,8.516171690336754e-17,3.563054559895248e-16
8,96,4,4.965068306494546e-16,8.516171690336754e-17,3.2928374845859603e-16
8,96,5,4.965068306494546e-16,8.516171690336754e-17,3.6069788248980093e-16
8,160,0,4.965068306494546e-16,8.516171690336754e-17,4.436832955578392e-16
8,160,1,4.965068306494546e-16,8.516171690336754e-17,4.47572314179143e-16
8,160,2,4.965068306494546e-16,8.516171690336754e-17,3.31443210885322e-16
8,160,3,5.087681048627601e-16,8.516171690336754e-17,3.59879872381535e-16
8,160,4,5.087681048627601e-16,8.516171690336754e-17,4.720615760976057e-16
8,160,5,5.087681048627601e-16,8.516171690336754e-17,4.3289329414011323e-16
16,192,0,5.087681048627601e-16,8.516171690336754e-17,3.8549955930862207e-16
16,192,1,5.087681048627601e-16,8.516171690336754e-17,3.34372442205237e-16
16,192,2,5.087681048627601e-16,8.516171690336754e-17,3.783835137206401e-16
16,192,3,5.087681048627601e-16,8.516171690336754e-17,4.088394027644366e-16
16,192,4,5.087681048627601e-16,8.516171690336754e-17,3.3727863686194724e-16
16,192,5,5.087681048627601e-16,8.516171690336754e-17,3.42703941587132e-16
16,320,0,5.087681048627601e-16,8.516171690336754e-17,3.7314433874383435e-16
16,320,1,5.087681048627601e-16,8.516171690336754e-17,3.60263788814483e-16
16,320,2,5.087681048627601e-16,8.516171690336754e-17,4.21780223627495e-16
16,320,3,5.087681048627601e-16,8.516171690336754e-17,4.123554832882147e-16
16,320,4,5.087681048627601e-16,8.516171690336754e-17,3.662018309150528e-16
16,320,5,5.087681048627601e-16,8.516171690336754e-17,4.436003218505064e-16
