seed,d,iter,dist_raw,dist_align,dist_pm,absip,residual
0,8,0,3.012235317578476,2.5521088659632936,2.730941168366068,0.14983426141030168,nan
0,8,1,1.6457212763279925,0.9181941355886442,1.0613608713022875,0.4128884631272183,nan
0,8,2,1.7442634815535643,0.8557897794824539,0.9419008809347378,0.548556012714046,nan
0,8,3,1.806981704640408,0.8220079517927064,0.895453908885632,0.605770161887167,nan
0,8,4,1.8593429064063092,0.7774714261944682,0.8891495711959762,0.6288318332511127,nan
0,8,5,1.845109364955738,0.7093380474965956,0.7980236427639624,0.6848666267634882,nan
0,8,6,1.8691353945784974,0.6892708255126376,0.7902840459504875,0.6969768169809236,nan
0,8,7,1.8657968205489759,0.6408522573676696,0.7107686717953066,0.7465458986635574,nan
0,8,8,1.8462162923795093,0.588790045892375,0.6620582410632535,0.7727261604731543,nan
0,8,9,1.9005056897858423,0.527230455838284,0.6106488465911315,0.8128493509248009,nan
0,8,10,1.9418402652718996,0.510123145001979,0.5784889825863335,0.83724672486478,nan
0,8,11,1.9045011580640214,0.4550784466232753,0.5141696302109653,0.8644652304487187,nan
0,8,12,1.930539749939728,0.42748621442564894,0.47628339602814285,0.8853129430498197,nan
0,8,13,1.9185059538734173,0.36753848523327326,0.42437193310144716,0.9072968990475148,nan
0,8,14,1.9608369898663869,0.3353885552058651,0.38168018001677406,0.9269904309601738,nan
0,8,15,1.9739387709195155,0.30444937300727587,0.3467492333739528,0.9401400700679396,nan
0,8,16,1.9625595335667274,0.2618791451885872,0.3016770512496375,0.9539344844639832,nan
0,8,17,1.9656407763599864,0.2377933338195233,0.27241574772582494,0.9624296731312747,nan
0,8,18,1.9740522102095213,0.21353244725926654,0.24725157068338957,0.9691636212705573,nan
0,8,19,1.9755619086135805,0.20196282297909782,0.22741813384284662,0.9739076669978445,nan
0,8,20,1.9730906087738094,0.18463941431823705,0.2058833882957431,0.9785900648156758,nan
1,8,0,3.1661677112944564,2.8091247519437843,2.984222921117081,0.09615375084208741,nan
1,8,1,1.4436019680655117,1.1678694984582767,1.4436019680655117,0.05625264201232286,nan
1,8,2,1.3199517432237393,1.0838775064184014,1.3199517432237393,0.08205799372627409,nan
1,8,3,1.357778545489726,1.0701015427161125,1.357778545489726,0.012884442185153132,nan
1,8,4,1.4620842958413987,1.1185903417791543,1.4620842958413987,0.020956864088492004,nan
1,8,5,1.4051961764883494,1.1467893055413936,1.4051961764883494,0.06418210208483405,nan
1,8,6,1.3499769240209112,1.1155650346706345,1.3499769240209112,0.0356043114283751,nan
1,8,7,1.4640572517228478,1.188182951927671,1.4640572517228478,0.05419023260391512,nan
1,8,8,1.4848965503634584,1.2242085439570611,1.4848965503634581,0.045244690873917616,nan
1,8,9,1.4345839904099513,1.1685623558520495,1.434583990409951,0.0376303269539921,nan
1,8,10,1.3754039455547413,1.1494049666617925,1.3754039455547413,0.05242048239543544,nan
1,8,11,1.4458762072229419,1.2090373951994866,1.4458762072229419,0.07077476059507902,nan
1,8,12,1.3724761852608507,1.1328824435578815,1.3724761852608507,0.07274248061167131,nan
1,8,13,1.4582230948739723,1.2340558650135083,1.4582230948739723,0.05897082249725914,nan
1,8,14,1.4005843282369737,1.1751729446537273,1.4005843282369737,0.05706746901153212,nan
1,8,15,1.395271781637459,1.1676590337705066,1.3952717816374587,0.07352625249289238,nan
1,8,16,1.3462727208421266,1.0952022442985985,1.3462727208421266,0.03993023739667143,nan
1,8,17,1.451740393739578,1.1903337237538747,1.4517403937395783,0.07001128965512163,nan
1,8,18,1.3858481149988167,1.1379759316362625,1.3858481149988167,0.06299543850837254,nan
1,8,19,1.374920123810847,1.156305389240692,1.3749201238108468,0.08574821775799522,nan
1,8,20,1.357978101299656,1.1286565010708463,1.3579781012996557,0.08274199901624033,nan
