test,case,A_seed,omega,seed,power_iters,passes,final_dist,log_final_dist,final_rel_l2,final_meas_rel,wall_sec
prob3_Aseed,real_patch,1,1.0,1,1,80,0.011972800210462358,-4.425117851059806,0.01197280021046236,0.007111633938103247,266.040326833725
prob3_Aseed,real_patch,5,1.0,1,1,80,0.011829537736860742,-4.437155677253132,0.011829537736860744,0.007140475036635969,264.3836421966553
prob3_Aseed,real_patch,11,1.0,1,1,80,0.011249105927730013,-4.4874666265805265,0.011249105927730015,0.006811127622332612,264.5981557369232
prob3_Aseed,real_patch,21,1.0,1,1,80,0.011769027299574833,-4.442284003472102,0.011769027299574835,0.007025001121985324,263.68486738204956
prob3_Aseed,real_patch,31,1.0,1,1,80,0.012241193026424728,-4.402948537168654,0.01224119302642473,0.007912747732737,263.5740213394165
prob3_Aseed,real_patch,52,1.0,1,1,80,0.011644310990950571,-4.452937545197899,0.011644310990950573,0.006979334522817944,263.3231599330902
prob3_Aseed,real_patch,71,1.0,1,1,80,0.011171943056727496,-4.494349727875363,0.011171943056727498,0.006799579678738081,263.7986466884613
prob3_Aseed,real_patch,101,1.0,1,1,80,0.012229163644463211,-4.403931717192739,0.012229163644463213,0.007039375722513171,265.03053855895996
prob3_Aseed,real_patch,212,1.0,1,1,80,0.011116890601582241,-4.499289651421137,0.011116890601582243,0.006582527441107848,262.50319480895996
prob3_Aseed,real_patch,314,1.0,1,1,80,0.01174939929681783,-4.443953163373907,0.011749399296817831,0.007153187320746148,261.4266836643219
